Year_1,Year_2,Year_3,Year_4,Year_5,Year_6,Year_7,Year_8,Year_9,Year_10,Year_11,Year_12,Year_13,Year_14,Year_15,Year_16,Year_17,Year_18,Year_19,Year_20,Year_21,Year_22,grad,,
96.69793501,88.81683848,85.12612564,80.01670874,81.67222293,79.52007582,75.43451337,70.74937986,72.14401547,66.48515148,65.43289311,68.85944859,66.83663175,67.01512291,64.97601521,65.83267508,67.91046246,69.24918286,64.62050508,67.21941265,69.40818894,69.96820661,116.4,1603.991712,1867.046353
96.3386075,91.32474408,86.16478683,83.22774446,77.64346874,79.10270129,72.25003002,71.09405756,66.74772716,67.18157578,68.58656135,65.77186545,67.21371255,61.69884627,64.95291181,65.15811964,68.04160063,70.07891918,66.30752022,71.14699859,67.70544462,70.66524586,116.4,1598.40319,1860.541313
95.97446402,88.70637233,84.6183624,84.01567291,78.65598902,75.81201675,69.39189599,74.11922503,70.44601508,69.19577307,62.50141641,69.17866929,62.13715044,60.56098233,61.17859611,61.57242873,63.56845464,65.63749085,65.91961574,70.21553569,71.02484128,75.04853637,116.4,1579.479505,1838.514143
94.30993075,94.29284546,85.63537122,82.03720185,82.04927486,77.75993487,77.07425023,77.06760604,72.15155148,66.70674263,68.47389926,63.96580157,58.35969527,61.11190139,62.46422382,63.75932618,64.61403283,64.56587025,64.47110989,70.04465151,64.48624964,71.1494991,116.4,1586.55097,1846.745329
93.65028223,89.08865928,89.4493459,78.89612716,81.62221688,77.68942068,71.41090158,67.30136645,67.65707007,65.68878987,69.3506764,64.61270548,63.35127689,65.14116177,63.38398981,60.5728315,62.72149868,63.33187067,62.46010607,68.62058126,69.00595135,71.15937778,116.4,1566.166208,1823.017466
93.44889267,91.36016706,84.71455711,82.5035367,83.87948683,73.73221504,72.12342369,72.64565005,68.42531791,67.92898544,65.35665363,64.8249428,70.44792481,63.65634673,63.33382935,63.38059532,61.46729251,58.68085625,67.12831056,70.174666,69.02854296,63.51407666,116.4,1571.75627,1829.524298
92.59954012,92.13011799,84.19895426,82.18249349,75.09531456,75.2829855,68.65611029,71.43500908,68.75386915,64.06463251,64.49549754,68.46903798,68.39194224,61.60079831,64.04941962,62.66370324,61.0524126,61.08274829,62.5687112,67.50382209,71.44228865,73.26028561,116.4,1560.979694,1816.980364
93.91529039,88.65450557,87.90416233,86.77285548,77.76085904,75.9343222,70.56823396,69.32207418,69.40721733,61.66159738,63.40643097,64.00638551,63.08156764,62.18286072,62.26346628,60.58358645,63.38651131,63.22502582,66.94847362,61.11397368,70.84357065,71.01672198,116.4,1553.959692,1808.809082
91.05701634,88.39155317,82.22285136,83.09168683,79.47701103,76.1838648,63.0617825,72.84162849,66.5215877,64.67785936,65.36414272,65.6954309,66.91228056,61.95581989,57.54825894,69.91487747,62.79488721,62.90574342,69.66396276,64.78752952,67.95916862,69.93674825,116.4,1552.965692,1807.652065
100.3397722,92.98456044,86.08602592,84.34079343,80.31496812,75.12304104,74.03518208,69.05293178,70.89873488,66.57424034,65.09559625,64.17875614,62.83646429,62.80201253,65.83315285,60.83344078,64.80208042,64.88801303,69.27073683,63.43100399,69.05362723,72.01136112,116.4,1584.786496,1844.691481
97.74228905,93.68005024,88.29416455,77.35585351,80.3935232,75.97165861,70.02151679,71.14083016,66.55690142,65.51740066,62.49268811,65.12554216,68.23892096,68.13327802,64.61599222,65.25950988,62.65523156,67.38615902,63.32186656,71.73253538,71.19260875,69.76666598,116.4,1586.595187,1846.796797
