method,parameter,estimate,se,time,sim,true,pct_diff,beta0_true,beta1_true
secr_joint,sigma.(Intercept),4.048239066647964,0.05418724020593491,108.10999999999967,1,4.05,-0.04347983585273193,1.3118554063394898,0.8071689116302878
secr_joint,sigma.x.s,-0.19885359061018898,0.03361901672733326,108.10999999999967,1,-0.23,-13.541917126004796,1.3118554063394898,0.8071689116302878
secr_glm,g0,0.8030509247555355,0.5598709446682988,52.409999999999854,1,0.8,0.38136559444193474,1.3118554063394898,0.8071689116302878
secr_glm,sigma.(Intercept),4.046469542104382,0.053991647657641195,52.409999999999854,1,4.05,-0.0871717998918,1.3118554063394898,0.8071689116302878
secr_glm,sigma.x.s,-0.19950329540526354,0.03348332598232101,52.409999999999854,1,-0.23,-13.259436780320202,1.3118554063394898,0.8071689116302878
secr_glm,D.(Intercept),1.3423955101131844,0.055072362774900525,52.409999999999854,1,1.3118554063394898,2.328008378523325,1.3118554063394898,0.8071689116302878
secr_glm,D.x.s,0.7667278722560377,0.05704362442576155,52.409999999999854,1,0.8071689116302878,-5.0102325289720255,1.3118554063394898,0.8071689116302878
secr_joint,D.(Intercept),0.20011558348839772,0.11338469245885083,184.26999999999953,1,0.270965000611268,-26.14707322460155,0.270965000611268,0.44666648849379276
secr_joint,D.x.s,0.32687352273758885,0.12388276224719073,184.26999999999953,1,0.44666648849379276,-26.81933138977106,0.270965000611268,0.44666648849379276
secr_joint,g0,0.9999999992105442,3.4699493836430793e-9,184.26999999999953,1,0.8,24.999999901318017,0.270965000611268,0.44666648849379276
secr_joint,sigma.(Intercept),3.9666575183455595,0.051845159478623094,184.26999999999953,1,4.05,-2.057839053196058,0.270965000611268,0.44666648849379276
secr_joint,sigma.x.s,-0.2313556530503981,0.057893759932909496,184.26999999999953,1,-0.23,0.5894143697382985,0.270965000611268,0.44666648849379276
secr_glm,g0,0.9999996938552964,7.3339264055173354e-9,73.6899999999996,1,0.8,24.999961731912045,0.270965000611268,0.44666648849379276
secr_glm,sigma.(Intercept),3.965976389676351,0.05185526437523449,73.6899999999996,1,4.05,-2.074657045028363,0.270965000611268,0.44666648849379276
secr_glm,sigma.x.s,-0.23214172118761253,0.05802191453774436,73.6899999999996,1,-0.23,0.9311831250489226,0.270965000611268,0.44666648849379276
secr_glm,D.(Intercept),0.20105186986476928,0.09095111776075593,73.6899999999996,1,0.270965000611268,-25.801535470921404,0.270965000611268,0.44666648849379276
secr_glm,D.x.s,0.3279729023448594,0.09662281220238012,73.6899999999996,1,0.44666648849379276,-26.57320152876946,0.270965000611268,0.44666648849379276
secr_joint,D.(Intercept),1.6899462117006647,0.06125285667796988,91.94999999999982,1,1.710060081470308,-1.176208367623514,1.710060081470308,0.9067780621349811
secr_joint,D.x.s,0.8935115541105325,0.06412348068189795,91.94999999999982,1,0.9067780621349811,-1.463038044084683,1.710060081470308,0.9067780621349811
secr_joint,g0,0.8477734079709665,0.5924316336870965,91.94999999999982,1,0.8,5.971675996370801,1.710060081470308,0.9067780621349811
secr_joint,sigma.(Intercept),4.048823197526156,0.04380020008471097,91.94999999999982,1,4.05,-0.02905685120602186,1.710060081470308,0.9067780621349811
secr_joint,sigma.x.s,-0.2361629439051402,0.029123923229812113,91.94999999999982,1,-0.23,2.679540828321821,1.710060081470308,0.9067780621349811
secr_glm,g0,0.8487109817425803,0.5959208605393002,46.60999999999967,1,0.8,6.088872717822532,1.710060081470308,0.9067780621349811
secr_glm,sigma.(Intercept),4.047861202926113,0.04370033797921687,46.60999999999967,1,4.05,-0.05280980429349191,1.710060081470308,0.9067780621349811
secr_glm,sigma.x.s,-0.2362640281535486,0.029025586379417347,46.60999999999967,1,-0.23,2.723490501542867,1.710060081470308,0.9067780621349811
secr_glm,D.(Intercept),1.6905261202580435,0.046140202860436255,46.60999999999967,1,1.710060081470308,-1.142296777986256,1.710060081470308,0.9067780621349811
secr_glm,D.x.s,0.8935696768048013,0.04743538132848986,46.60999999999967,1,0.9067780621349811,-1.4566282403305097,1.710060081470308,0.9067780621349811
secr_joint,D.(Intercept),0.11954571014671646,0.12552501282947665,62.42000000000007,1,0.22288671568025306,-46.36481147749814,0.22288671568025306,0.390321074356325
secr_joint,D.x.s,0.4188622215454814,0.14129035687209457,62.42000000000007,1,0.390321074356325,7.312222952917249,0.22288671568025306,0.390321074356325
secr_joint,g0,0.8260755901663892,0.9582387740705306,62.42000000000007,1,0.8,3.2594487707986453,0.22288671568025306,0.390321074356325
secr_joint,sigma.(Intercept),4.061881003122678,0.08893214661810295,62.42000000000007,1,4.05,0.29335810179451666,0.22288671568025306,0.390321074356325
secr_joint,sigma.x.s,-0.23989038025131795,0.06672037895138364,62.42000000000007,1,-0.23,4.300165326659975,0.22288671568025306,0.390321074356325
secr_glm,g0,0.824526723908027,0.9509889512178409,46.659999999999854,1,0.8,3.0658404885033628,0.22288671568025306,0.390321074356325
secr_glm,sigma.(Intercept),4.064156262348182,0.08930702399742725,46.659999999999854,1,4.05,0.34953734193042285,0.22288671568025306,0.390321074356325
secr_glm,sigma.x.s,-0.23901161270593207,0.06685315767090563,46.659999999999854,1,-0.23,3.9180924808400284,0.22288671568025306,0.390321074356325
