fit_method,method,parameter,estimate,se,sim
acre,acre,sigma,77.10844021788303,10.794152002851702,18
acre,acre,D,2.4577301646899015,0.5299862548443214,18
secr,secr,D,3.9512354885792296,0.9464298748501249,19
secr,secr,g0,0.5202081783149842,0.15293646631408234,19
secr,secr,sigma,74.79517095787044,13.0016618966349,19
acre,acre,g0,0.5202014360042492,0.15286568520663787,19
acre,acre,sigma,74.79592550964942,12.89212935029469,19
acre,acre,D,3.9512126141541892,0.9327854899532999,19
secr,secr,D,3.6697174905090133,0.818674597767929,20
secr,secr,g0,0.8129549784124596,0.2595831016215146,20
secr,secr,sigma,57.98735247234382,8.988676735223313,20
acre,acre,g0,0.8129450409684039,0.2594536812707307,20
acre,acre,sigma,57.98779153792379,8.927798859783616,20
acre,acre,D,3.66971150273659,0.8086771578507664,20
secr,secr,D,2.9376537118882413,0.6263159371565098,21
secr,secr,g0,0.7326664399874661,0.1416135867093862,21
secr,secr,sigma,79.13957369177777,10.718182788850562,21
acre,acre,g0,0.7326675293367099,0.14157986130306358,21
acre,acre,sigma,79.1395245000977,10.660069870240655,21
acre,acre,D,2.9376553464461024,0.6190322076927185,21
secr,secr,D,2.9992914833560507,0.657118173997047,22
secr,secr,g0,0.7071371078141853,0.14003675003212404,22
secr,secr,sigma,82.6684285744542,11.573483067711491,22
acre,acre,g0,0.7071368652201633,0.14002820040456446,22
acre,acre,sigma,82.66838099846882,11.509365872917266,22
acre,acre,D,2.999298142722762,0.6490545855161152,22
secr,secr,D,3.711402553779531,0.6308322048138232,23
secr,secr,g0,0.8792250220983722,0.12543907263139206,23
secr,secr,sigma,75.36773674461277,7.759976343778471,23
acre,acre,g0,0.879220537609687,0.1253739987334495,23
acre,acre,sigma,75.36813671050722,7.731486381888688,23
acre,acre,D,3.7113895034004374,0.6260673141492447,23
secr,secr,D,2.6423241187031765,0.5388719921968744,24
secr,secr,g0,0.8507368536761257,0.13633673297111026,24
secr,secr,sigma,81.86999262700779,10.534788984551584,24
acre,acre,g0,0.8507382291324374,0.1362694028236733,24
acre,acre,sigma,81.86990153400814,10.480561080442307,24
acre,acre,D,2.6423250413858805,0.5330636168082705,24
secr,secr,D,4.08409849454959,0.8347295322205318,25
secr,secr,g0,0.7362802914314104,0.1829597500468351,25
secr,secr,sigma,65.24658964695216,9.14266236028,25
acre,acre,g0,0.7362737450512863,0.1828845033063595,25
acre,acre,sigma,65.24704977079878,9.090286055892072,25
acre,acre,D,4.084084656206724,0.8259560531658371,25
secr,secr,D,3.1262068531385534,0.655920167120042,26
secr,secr,g0,0.6831146212031871,0.13480376413406467,26
secr,secr,sigma,85.93746789525106,12.086316177284498,26
acre,acre,g0,0.6831251380979945,0.13474976195549146,26
acre,acre,sigma,85.9359123788928,12.012035816092553,26
acre,acre,D,3.1262715417683355,0.6483479455752245,26
secr,secr,D,3.2242355386614348,0.7018171386303439,27
secr,secr,g0,0.6684877761768453,0.15812893972709466,27
secr,secr,sigma,72.24063442453294,10.808694662594528,27
acre,acre,g0,0.6684879220535821,0.1580320685429238,27
acre,acre,sigma,72.24061734555411,10.735622869688859,27
acre,acre,D,3.224236035172297,0.6933795812042816,27
secr,secr,D,1.7061314803382592,0.47380288125814024,28
secr,secr,g0,0.7645145840499532,0.19196193056383015,28
secr,secr,sigma,78.40150953412521,14.697224558685104,28
acre,acre,g0,0.7645095358513079,0.19186701137540568,28
acre,acre,sigma,78.4020691609705,14.552726454082649,28
acre,acre,D,1.7061219309886526,0.4647049480230952,28
secr,secr,D,2.5843494445373225,0.5064773672492668,29
secr,secr,g0,0.929528811112186,0.144154943041646,29
secr,secr,sigma,74.03862963423714,8.727561774296012,29
acre,acre,g0,0.9295237270076974,0.14403744389883713,29
acre,acre,sigma,74.03906096795485,8.6863405680595,29
acre,acre,D,2.5843384472076574,0.5014813041995121,29
secr,secr,D,3.4402518688655817,0.6059994917934864,30
secr,secr,g0,0.8763565075056167,0.13876501094646862,30
secr,secr,sigma,72.78661257138836,7.9715308801204765,30
acre,acre,g0,0.876356321125051,0.13866074860174807,30
