fit_method,method,parameter,estimate,se,sim,true,pct_diff
secr,secr,D,4.333064052413897,0.24589505081628424,29,5,-13.338718951722067
secr,secr,g0,0.7373943778225969,0.03333246815093757,29,0.8,-7.825702772175397
secr,secr,sigma,88.38457886689254,3.1513842556560228,29,80,10.480723583615674
acre,acre,g0,0.7373965845799826,0.033327171691104995,29,0.8,-7.825426927502183
acre,acre,sigma,88.38399198161476,3.1475100413455928,29,80,10.479989977018445
acre,acre,D,4.333121758332283,0.24552149337095167,29,5,-13.337564833354332
secr,secr,D,4.866704415047677,0.24856782863821442,30,5,-2.665911699046468
secr,secr,g0,0.7955197990441423,0.034044139900046184,30,0.8,-0.5600251194822214
secr,secr,sigma,82.99253518837229,2.618708745774755,30,80,3.7406689854653585
acre,acre,g0,0.7955162876551151,0.034032948622146925,30,0.8,-0.5604640431106228
acre,acre,sigma,82.99290987675244,2.6157051101989857,30,80,3.7411373459405444
acre,acre,D,4.866693825484223,0.2482708534737043,30,5,-2.6661234903155417
secr,secr,D,4.811458383833813,0.24346454097797443,31,5,-3.770832323323745
secr,secr,g0,0.8370699111381313,0.03506918421554936,31,0.8,4.633738892266412
secr,secr,sigma,79.06232011935249,2.4613640420883196,31,80,-1.172099850809385
acre,acre,g0,0.837065607691908,0.035054876854930014,31,0.8,4.63320096148849
acre,acre,sigma,79.06279746731207,2.458465506633027,31,80,-1.1715031658599173
acre,acre,D,4.811435644004814,0.2431891202168583,31,5,-3.771287119903714
secr,secr,D,4.721249841985846,0.25273502892229893,32,5,-5.575003160283085
secr,secr,g0,0.7783350333552876,0.034002902588138005,32,0.8,-2.70812083058905
secr,secr,sigma,83.98165555676759,2.786176122928057,32,80,4.97706944595949
acre,acre,g0,0.7783363403882497,0.03399718716470189,32,0.8,-2.70795745146879
acre,acre,sigma,83.98140110754974,2.7831492041948653,32,80,4.976751384437179
acre,acre,D,4.721274551546243,0.2524087136710908,32,5,-5.574508969075147
secr,secr,D,4.972056759772748,0.2535888853084824,33,5,-0.5588648045450384
secr,secr,g0,0.7937857139181634,0.03476861144120643,33,0.8,-0.7767857602295758
secr,secr,sigma,81.19357031026746,2.5665476881972817,33,80,1.491962887834326
acre,acre,g0,0.7937816000167496,0.034758669199973065,33,0.8,-0.7772999979063083
acre,acre,sigma,81.19403233357977,2.5636824063235073,33,80,1.4925404169747125
acre,acre,D,4.9720393178428095,0.2532951300935121,33,5,-0.55921364314381
secr,secr,D,5.085806562382747,0.2659963017890418,34,5,1.7161312476549462
secr,secr,g0,0.7565615094293698,0.035694879046283365,34,0.8,-5.429811321328776
secr,secr,sigma,80.46702473481322,2.704547355220807,34,80,0.5837809185165277
acre,acre,g0,0.7565571109482243,0.035684169814691455,34,0.8,-5.430361131471967
acre,acre,sigma,80.46751945170493,2.701330795958361,34,80,0.5843993146311632
acre,acre,D,5.08578594847071,0.2656703266313926,34,5,1.7157189694142083
secr,secr,D,5.138135476801161,0.2612066459593718,35,5,2.7627095360232268
secr,secr,g0,0.7997148670494416,0.03601019868975401,35,0.8,-0.03564161881980388
secr,secr,sigma,78.01941455781856,2.4859854712301925,35,80,-2.475731802726795
acre,acre,g0,0.7997106751738369,0.03599671175960209,35,0.8,-0.03616560327039664
acre,acre,sigma,78.01988118275905,2.483101797307046,35,80,-2.475148521551187
acre,acre,D,5.138111294732084,0.26091247511155735,35,5,2.7622258946416878
secr,secr,D,5.3801927015874735,0.2671488441271087,36,5,7.603854031749472
secr,secr,g0,0.7877457445185958,0.03319716202166424,36,0.8,-1.5317819351755302
secr,secr,sigma,79.84268822671338,2.478512362314577,36,80,-0.19663971660827786
acre,acre,g0,0.7877411731985432,0.033188735884590155,36,0.8,-1.5323533501821056
acre,acre,sigma,79.8431998161596,2.475738333719312,36,80,-0.19600022980050372
acre,acre,D,5.380168973183349,0.2668461148297979,36,5,7.603379463666986
secr,secr,D,4.404543959113307,0.23603930451898084,37,5,-11.909120817733854
secr,secr,g0,0.8106713857231208,0.036120913256423484,37,0.8,1.3339232153900955
secr,secr,sigma,82.22797708323681,2.7252085949232883,37,80,2.784971354046011
acre,acre,g0,0.8106680637760153,0.03610975567880716,37,0.8,1.3335079720019072
acre,acre,sigma,82.22835226210235,2.7220627258706576,37,80,2.785440327627935
acre,acre,D,4.404533504068553,0.23574336523950604,37,5,-11.909329918628941
secr,secr,D,5.067421155619494,0.2506076310302511,38,5,1.3484231123898738
secr,secr,g0,0.844991200192265,0.0356408682759041,38,0.8,5.623900024033124
secr,secr,sigma,77.89490079326951,2.3944309825144865,38,80,-2.6313740084131076
acre,acre,g0,0.8449869339401437,0.03562812102239373,38,0.8,5.6233667425179545
acre,acre,sigma,77.89534261051587,2.3916544998459677,38,80,-2.6308217368551645
acre,acre,D,5.067400725795067,0.25033522829571137,38,5,1.3480145159013368
secr,secr,D,5.483988598853053,0.2770054264212823,39,5,9.679771977061051
secr,secr,g0,0.7722899926351279,0.038537829037810126,39,0.8,-3.463750920609021
secr,secr,sigma,74.96252625626398,2.4732074624508846,39,80,-6.296842179670019
acre,acre,g0,0.7722901855898019,0.03852030840463579,39,0.8,-3.463726801274769
acre,acre,sigma,74.96250869325416,2.469992808750008,39,80,-6.296864133432294
acre,acre,D,5.483988923274805,0.2767044838362818,39,5,9.679778465496103
secr,secr,D,5.028937945794924,0.2576367842736659,40,5,0.5787589158984829
secr,secr,g0,0.794113066851342,0.03531298480217577,40,0.8,-0.7358666435822586
secr,secr,sigma,80.90216428534866,2.5400621804121175,40,80,1.1277053566858264
acre,acre,g0,0.7941105611698779,0.03530457567317289,40,0.8,-0.7361798537652703
acre,acre,sigma,80.90247513171371,2.5374136980757322,40,80,1.1280939146421431
acre,acre,D,5.028927617910244,0.2573428692280033,40,5,0.5785523582048846
secr,secr,D,5.115173071969496,0.2559260302172102,41,5,2.3034614393899133
secr,secr,g0,0.8186238796097487,0.03611662656927968,41,0.8,2.327984951218581
secr,secr,sigma,78.16611380907801,2.4905599484145164,41,80,-2.292357738652484
acre,acre,g0,0.8186190164329372,0.036100168583292215,41,0.8,2.3273770541171466
acre,acre,sigma,78.16661508618157,2.4874123169615534,41,80,-2.2917311422730435
acre,acre,D,5.115150126221644,0.2556351788157053,41,5,2.3030025244328733
secr,secr,D,4.961567634042013,0.2477694510082188,42,5,-0.7686473191597365
secr,secr,g0,0.8300028068962669,0.03424108560639018,42,0.8,3.7503508620333608
secr,secr,sigma,79.11008665676246,2.4291029405660742,42,80,-1.1123916790469224
acre,acre,g0,0.8300023288055011,0.03422623619994214,42,0.8,3.750291100687628
